id,card_holder_name,timestamp,card_number,payment_amount,merchant_name
338,Nichole Rivers,"Oct 14, 2021 11:02",5443716793474631,57,Yahoo
339,Anne Mathis,"Jan 18, 2023 13:01",490 32166 54516 246,46,Yahoo
340,Kasper York,"Oct 13, 2022 14:34",490385147752723459,35,Adobe
341,Ross Lawrence,"Nov 4, 2021 20:44",303656229747491,89,Adobe
342,Emery Melendez,"Sep 15, 2022 19:55",4716 2475 2524 8260,91,Yahoo
343,Ivor Townsend,"Dec 2, 2020 00:38",653727 6857835339,96,Yahoo
344,Evelyn Cox,"Jul 3, 2022 01:22",676777547542116833,33,Yahoo
345,Mercedes Hooper,"Jul 30, 2021 14:25",670 98355 36522 246,96,Adobe
346,Kermit Evans,"Aug 3, 2021 21:13",630433114282476290,2,Adobe
347,Allistair Willis,"Dec 17, 2020 11:09",5569 7661 1962 3187,25,Yahoo
348,Adena Simon,"Dec 15, 2021 17:20",3686 743725 74234,63,Yahoo
349,Alfreda Frederick,"Dec 2, 2021 07:18",5018587371466,17,Adobe
350,Yasir Allen,"Mar 28, 2021 14:35",578537 21 2577 7393 139,10,Yahoo
351,Jack Woods,"Aug 23, 2021 06:07",5329 3547 5193 4567,39,Yahoo
352,Noble Snow,"Dec 6, 2020 10:42",3052 213974 55878,9,Yahoo
353,Katell Jackson,"Jun 2, 2022 01:05",3424 772128 38517,13,Yahoo
354,Tamara Jennings,"Jul 4, 2023 21:43",3716 755428 61893,98,Yahoo
355,Rinah Madden,"Jul 29, 2021 01:46",676 72664 31399 721,31,Yahoo
356,Axel Andrews,"Dec 20, 2022 11:28",214926653983377,40,Yahoo
357,Ezekiel Wilkinson,"Dec 23, 2022 10:48",647 33588 84193 332,66,Adobe
358,Ariel Bradford,"Aug 27, 2022 12:37",676763 7627848327,47,Adobe
359,Lesley Tillman,"Aug 4, 2021 14:13",67092653728249636,85,Adobe
360,Sebastian Pittman,"May 12, 2021 21:34",633110 4378946328,82,Adobe
361,Mariko Morton,"Nov 1, 2023 22:45",2149 457368 98816,21,Yahoo
362,Mallory Oliver,"Jan 4, 2021 01:20",543873 588375 6399,39,Yahoo
363,Alana Santana,"Aug 19, 2023 02:58",6771 3378 8377 2790,95,Yahoo
364,Wing Whitfield,"Jul 25, 2021 03:47",364528944451483,92,Yahoo
365,Hollee Reeves,"Jan 23, 2021 13:32",344885235222766,87,Yahoo
366,Akeem Thornton,"Mar 3, 2023 03:59",3637 688385 23127,30,Adobe
367,Ryder Chase,"Apr 6, 2023 22:27",3014 626732 86751,19,Adobe
368,Keefe Watts,"Jun 11, 2023 06:23",6462 5653 2647 2248,54,Adobe
369,Caleb Noble,"Jan 19, 2023 15:36",633 44624 74728 348,68,Yahoo
370,Sophia Byers,"May 29, 2022 10:20",536649 224297 9165,23,Yahoo
371,Duncan Richmond,"Feb 13, 2022 18:57",490348 59 9136 5882 385,89,Adobe
372,Jesse Cannon,"Aug 18, 2022 03:20",3637 921934 68454,48,Yahoo
373,Rajah Oneil,"Oct 7, 2022 19:20",2149 786898 75580,14,Adobe
374,Catherine Sellers,"Apr 24, 2021 13:20",503 86745 52734 391,40,Yahoo
375,Lane Harrington,"Jun 20, 2022 10:39",575866733133,9,Adobe
376,Fulton Mcintyre,"Apr 14, 2021 13:41",677148 388366 8925,69,Yahoo
377,Leilani Rosa,"May 30, 2022 12:44",6767 5965 1827 2320,28,Yahoo
378,Lee Merritt,"May 27, 2023 01:12",5237289275261330,84,Yahoo
379,Kaitlin Baker,"Jan 12, 2021 02:39",495525 7783866216,66,Adobe
380,Dane Lyons,"Nov 27, 2022 04:32",630422 426512 4269,37,Adobe
381,Benjamin Stanton,"Mar 14, 2023 03:51",648578 676194 8236,5,Adobe
382,Dillon Shepherd,"Mar 11, 2022 21:51",3058 358283 16340,36,Adobe
383,Ori Ross,"Oct 4, 2021 17:43",301427295531124,80,Yahoo
384,Dexter Velasquez,"Jul 24, 2021 22:00",6762144932612,17,Yahoo
385,Oren Cash,"Nov 27, 2020 01:06",3054 872182 82888,13,Yahoo
386,Myra Tyler,"Sep 11, 2022 09:14",3652 683246 44188,29,Yahoo
387,Nathan Fox,"Sep 26, 2021 17:24",3614 728747 12684,77,Yahoo
388,Kirk Buck,"Jul 18, 2021 10:16",417500 7327433443,31,Adobe
389,Fuller Rocha,"May 17, 2022 15:39",4911 9534 8473 2920,62,Adobe
390,Octavia Martin,"Feb 22, 2022 12:56",491 35335 29537 712,60,Yahoo
391,Delilah Davenport,"Mar 9, 2021 22:57",6334359937563249,79,Yahoo
392,Rigel Cobb,"Dec 18, 2022 18:35",367466322463415,61,Adobe
393,Angelica Moon,"Apr 21, 2021 04:13",644976 7463281121,61,Yahoo
394,Uriah Pollard,"Aug 21, 2022 08:56",379235832576933,31,Adobe
395,Pandora Holcomb,"Nov 3, 2021 23:50",491 34557 31175 778,28,Adobe
396,Malachi Reeves,"Apr 14, 2023 21:43",513842 153863 4587,69,Adobe
397,Drake Hubbard,"Jul 24, 2021 13:25",201438537356460,86,Yahoo
398,Griffith Barnett,"Jan 5, 2022 03:11",372244525355479,64,Yahoo
399,Otto Day,"Apr 20, 2023 23:44",490322 7229832737,90,Yahoo
400,Bree Hodges,"Jan 21, 2021 09:32",6334781483278462668,70,Yahoo
401,Rosalyn Hamilton,"Feb 25, 2021 15:01",2014 636444 34836,98,Adobe
402,Nomlanga Baird,"Sep 18, 2023 15:15",601195 453346 6431,82,Adobe
403,Silas Fisher,"Jan 21, 2023 23:07",6482355793555873,73,Adobe
404,Vivian Camacho,"May 21, 2022 16:44",5835473867463634521,43,Adobe
405,Joy Herman,"Jan 8, 2022 23:25",6331 1037 3454 6384,18,Yahoo
406,Hanna Albert,"Feb 10, 2022 20:40",4024007121433,10,Yahoo
407,Amos Beasley,"May 7, 2023 19:37",3625 917512 23595,84,Adobe
408,Merrill Witt,"Feb 28, 2022 05:35",362826126747864,24,Yahoo
409,Judah Pacheco,"Jun 21, 2022 22:35",633 33323 49924 839,61,Yahoo
410,Haley Knowles,"Feb 14, 2022 09:07",201413649485226,15,Yahoo
411,Roanna Blackburn,"May 27, 2021 23:44",4913836646287438,41,Yahoo
412,Wynter Lawson,"Jul 18, 2022 19:38",58933695934425,67,Adobe
413,Vera Wiley,"May 11, 2021 06:05",649 54579 28357 566,59,Adobe
414,Stone Ford,"Dec 24, 2020 13:01",2014 752644 66351,48,Yahoo
415,Salvador Bray,"Dec 23, 2022 04:43",4024007153410,92,Yahoo
416,Fleur Guy,"Apr 28, 2021 13:58",455647 2728551749,73,Yahoo
417,Simon Frost,"Jul 4, 2021 06:41",517259 566886 5546,62,Yahoo
418,Ora Rojas,"Sep 28, 2021 15:03",3448 799413 25641,80,Yahoo
419,Daquan Logan,"Mar 27, 2021 21:42",527452 597864 3538,62,Yahoo
420,Nichole Weiss,"Nov 9, 2021 02:51",3055 533752 57276,21,Yahoo
421,Vance Levy,"Apr 18, 2023 18:01",302634685184286,30,Yahoo
422,Xyla Chan,"Mar 31, 2022 15:50",546964 5551738656,60,Yahoo
423,Finn Kramer,"Jul 12, 2022 23:30",214957568736899,2,Adobe
424,Hedwig Bailey,"Jul 23, 2023 14:48",304352157464460,57,Adobe
425,Ima Mosley,"Apr 25, 2023 02:24",3466 862126 77842,24,Adobe
426,Amity Barber,"Nov 6, 2020 10:06",303612473428239,46,Adobe
427,Raja Whitaker,"Jan 16, 2021 21:20",304277271777358,27,Yahoo
428,Kirby Washington,"Oct 20, 2021 12:26",301557823651257,97,Yahoo
429,Alan Noble,"May 8, 2023 05:21",201488998681351,84,Adobe
430,Graiden Simon,"Oct 23, 2022 05:32",6767495957297934888,77,Adobe
431,Nita Mays,"Dec 18, 2022 20:17",4936 5137 8643 2693,14,Adobe
432,Bruce Mcleod,"Mar 25, 2023 18:17",6767345375324892320,80,Adobe
433,Fatima Hess,"Aug 11, 2021 08:10",633110 428356 3820,74,Adobe
434,Gillian Buckley,"Dec 18, 2021 11:09",633494 7242425656,76,Yahoo
435,Laith Bradford,"Feb 24, 2021 09:03",512276 6658812779,10,Yahoo
436,Finn Hurley,"Mar 24, 2022 12:49",365593811475436,23,Yahoo
437,Norman Rollins,"Apr 26, 2022 13:44",5742482644467187,67,Adobe
438,Levi Arnold,"Sep 14, 2023 10:16",647 33392 35426 571,6,Adobe
439,Maggy Gates,"Oct 31, 2023 00:10",3646 349857 62687,70,Adobe
440,Ralph Singleton,"Jun 29, 2022 18:26",5497 5951 2682 3366,55,Yahoo
441,Maya Joyce,"Jan 15, 2023 08:44",4539884664445,58,Adobe
442,Wade Bush,"May 27, 2022 13:31",3497 878255 87753,49,Adobe
443,Mia Sanders,"Oct 19, 2022 10:19",534 74815 94418 223,70,Yahoo
444,Cole Griffith,"Jan 30, 2023 16:32",484 43556 65629 259,47,Adobe
445,Gage Sargent,"Jul 21, 2021 15:06",649579 2534535324,69,Yahoo
446,Summer Hickman,"Aug 11, 2022 01:41",2149 665492 44782,22,Yahoo
447,Clinton Petersen,"Nov 8, 2022 04:21",6011934927659338,3,Yahoo
448,Hope Farley,"Dec 24, 2020 09:49",300688471528389,11,Yahoo
449,Solomon Meadows,"Oct 6, 2022 16:11",6304826946218373559,68,Yahoo
450,Tanya Calhoun,"Feb 6, 2022 09:44",6333339266489833671,55,Yahoo
451,Kuame Giles,"Dec 22, 2020 23:55",3644 936638 33785,76,Adobe
452,Channing Bean,"Mar 28, 2021 19:31",633469867221564317,96,Yahoo
453,Amber Newton,"May 13, 2023 20:36",493673 869137 1484,31,Yahoo
454,Violet Frazier,"Nov 25, 2021 11:32",6762782835742683,2,Yahoo
455,Vera Galloway,"May 17, 2023 02:43",4905 6336 4233 3286,71,Adobe
456,Damon Armstrong,"Dec 20, 2020 23:34",5483 7271 9411 9429,70,Yahoo
457,Jamal Butler,"Sep 10, 2021 17:38",4716 344 24 5623,39,Adobe
458,Oliver Callahan,"Jul 20, 2021 04:26",676 73241 36875 436,8,Yahoo
459,Cara Stone,"Oct 8, 2021 23:50",3653 815259 16675,38,Yahoo
460,Chloe Townsend,"Jul 13, 2022 02:27",522435 258847 6550,86,Yahoo
461,Lee Schwartz,"May 20, 2023 15:06",3613 655754 27141,64,Yahoo
462,Noble Palmer,"Oct 6, 2023 06:35",6759952743587752,76,Yahoo
463,Rana Santiago,"Dec 16, 2022 01:55",4905 6376 8658 5453,5,Adobe
464,Belle Fuentes,"Jan 28, 2022 15:52",4485526875533465,60,Adobe
465,Sara Stephenson,"Aug 6, 2023 16:13",348545544496123,90,Yahoo
466,Blythe Wade,"May 20, 2022 18:11",4716 6483 4987 3359,32,Adobe
467,Elliott Preston,"Oct 30, 2022 08:10",67713433757142237,22,Yahoo
468,Carla Yates,"Jul 19, 2022 23:52",676746 5298256558,68,Yahoo
469,Amery Johnston,"Sep 15, 2022 04:16",361624516126778,4,Adobe
470,Quin Guerra,"Jul 29, 2021 23:31",491334 2677819579,5,Yahoo
471,Gareth Mercado,"Jul 10, 2021 12:04",448563 9268476448,16,Yahoo
472,Sydney Castaneda,"Nov 29, 2022 13:44",491119 388227 2738,35,Yahoo
473,Ignacia Melton,"Dec 18, 2022 19:13",676733 2834748276,74,Adobe
474,Simone Gentry,"Mar 8, 2022 06:34",4716327755432,84,Yahoo
475,Kuame Mejia,"Dec 17, 2022 00:15",4905315443374863,3,Adobe
476,Colton Brown,"Sep 17, 2023 06:54",201437234235779,8,Yahoo
477,Cadman Cummings,"May 26, 2021 06:07",214963922725420,23,Adobe
478,Claire Mcneil,"Apr 11, 2023 02:50",4913 8178 5272 6426,50,Yahoo
479,Emerald Waters,"May 16, 2023 01:17",453249 566456 3369,95,Adobe
480,Wade Dunn,"Apr 21, 2021 10:01",6333 7234 6628 6798,90,Yahoo
481,Freya Swanson,"May 25, 2022 07:45",4539 9548 7656 8791,22,Adobe
482,Vance Ramsey,"Jul 13, 2021 03:40",201475943545633,84,Yahoo
483,James Fernandez,"May 3, 2021 03:08",6709156727598888881,22,Adobe
484,Pascale Dominguez,"Jun 15, 2022 18:56",67064322944271329,41,Yahoo
485,Whilemina Bray,"Jul 7, 2023 19:47",4539691866383332,31,Adobe
486,Alexander Haynes,"May 6, 2023 12:24",364464797646930,47,Yahoo
487,Ashely Carter,"Aug 27, 2021 09:41",5288786768379238,75,Yahoo
488,Samantha Malone,"Jun 30, 2022 20:31",369766937654227,51,Yahoo
489,Kennedy Frost,"May 25, 2022 07:22",4556 467 43 2743,12,Yahoo
490,Grant Cervantes,"Feb 25, 2022 18:52",633483 55 4787 8342 573,56,Adobe
491,Alana Howe,"May 14, 2021 14:37",57592622328845,14,Adobe
492,Yardley Shelton,"Feb 10, 2021 03:38",4844748734764281,70,Yahoo
493,Nelle Walters,"Dec 26, 2021 23:56",2149 715156 14539,17,Yahoo
494,Edan Buck,"Sep 16, 2023 21:54",5272681228446768,27,Yahoo
495,Neil Spencer,"Jun 8, 2023 18:45",3774 588529 28345,90,Adobe
496,Bernard Solis,"Oct 11, 2022 18:51",6767 3253 6514 5144,16,Yahoo
497,Dahlia Johnson,"Feb 22, 2023 11:04",6767842776735982469,57,Yahoo
498,Cheryl Wyatt,"Jun 26, 2021 07:00",3641 436785 15378,82,Adobe
499,Dorian Grimes,"Jun 17, 2023 14:42",501836 4762561875,15,Yahoo
500,Zachary Nelson,"Dec 11, 2022 22:51",402659 265398 4656,74,Adobe
